event_action,cim_action
allowed,allowed
blocked,blocked
dropped,dropped
unknown,unknown
ACCEPT,allowed
BLOCK,blocked
REJECT,blocked
DROP,dropped
LOG,allowed
CONNECT,allowed
permit,allowed
deny,blocked
drop,dropped
reject,blocked
block,blocked
